F 999
I 8 6810 0.34
T 1fe000
I 30 effc 0.45
I 9 effc 0.46
I 11 0008 0.53
I 21 0010 0.54
I 11 002c 1.33
I 21 0008 1.33
S 0 2000 7f0001
I 8 f010 1.34
R 1 0000 ffff
R 1 0000 ffff
R 15 0030 ffff
R 12 0000 ffff
R 13 00fd ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0040 ffff
R 7 0041 ffff
R 4 00e0 ffff
R 5 0023 ffff
R 2 cddd ffff
R 3 0542 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0127 ffff
R 5 0069 ffff
R 2 1ded ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0120 ffff
R 5 0069 ffff
R 2 226d ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0119 ffff
R 5 0069 ffff
R 2 226d ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0004 ffff
R 7 0008 ffff
R 4 0114 ffff
R 5 0069 ffff
R 2 1cad ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0107 ffff
R 5 0069 ffff
R 2 086d ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0100 ffff
R 5 0069 ffff
R 2 fef5 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 00f9 ffff
R 5 0069 ffff
R 2 fe35 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0002 ffff
R 7 0008 ffff
R 4 00f6 ffff
R 5 0069 ffff
R 2 ffb5 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 00ef ffff
R 5 0069 ffff
R 2 06ed ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 00e8 ffff
R 5 0069 ffff
R 2 0d0d ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 00e1 ffff
R 5 0069 ffff
R 2 0515 ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0007 ffff
R 7 0008 ffff
R 4 00d9 ffff
R 5 0069 ffff
R 2 0435 ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 00d2 ffff
R 5 0069 ffff
R 2 fb35 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0007 ffff
R 7 0008 ffff
R 4 01a2 ffff
R 5 0075 ffff
R 2 0435 ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 019b ffff
R 5 0075 ffff
R 2 fb35 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 018e ffff
R 5 0075 ffff
R 2 fe35 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0007 ffff
R 7 0008 ffff
R 4 0186 ffff
R 5 0075 ffff
R 2 0355 ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0002 ffff
R 7 0008 ffff
R 4 0183 ffff
R 5 0075 ffff
R 2 ffb5 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 017c ffff
R 5 0075 ffff
R 2 06ed ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0175 ffff
R 5 0075 ffff
R 2 092d ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 016e ffff
R 5 0075 ffff
R 2 086d ffff
R 3 03ee ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0167 ffff
R 5 0075 ffff
R 2 fb35 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0160 ffff
R 5 0075 ffff
R 2 f9b5 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0159 ffff
R 5 0075 ffff
R 2 fd75 ffff
R 3 03ed ffff
R 0 0000 ffff
R 1 c002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0006 ffff
R 7 0008 ffff
R 4 0152 ffff
R 5 0075 ffff
